match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets,result,player_of_match,team1_name,team2_name,toss_winner_name,match_winner_name,player_of_match_name
335982,2008,6,Bangalore,2008-04-18,Indian Premier League,1.0,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,1,1,6,field,6,140.0,,win,46.0,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,BB McCullum
1082591,2017,6,Hyderabad,2017-04-05,Indian Premier League,1.0,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",1,2,1,field,2,35.0,,win,15.0,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Yuvraj Singh
1082592,2017,6,Pune,2017-04-06,Indian Premier League,2.0,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,4,4,3,field,4,,7.0,win,36.0,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,SPD Smith
1082593,2017,6,Rajkot,2017-04-07,Indian Premier League,3.0,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,6,5,6,field,6,,10.0,win,57.0,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,CA Lynn
1082594,2017,6,Indore,2017-04-08,Indian Premier League,4.0,male,T20,T20,20,2017,club,Holkar Cricket Stadium,494,494,4,field,494,,6.0,win,71.0,Punjab Kings,Rising Pune Supergiants,Punjab Kings,Punjab Kings,GJ Maxwell
1082595,2017,6,Bengaluru,2017-04-08,Indian Premier League,5.0,male,T20,T20,20,2017,club,M.Chinnaswamy Stadium,1,1,252,bat,1,15.0,,win,4.0,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,KM Jadhav
1082596,2017,6,Hyderabad,2017-04-09,Indian Premier League,6.0,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",2,2,5,field,2,,9.0,win,22.0,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Rashid Khan
1082597,2017,6,Mumbai,2017-04-09,Indian Premier League,7.0,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,6,field,3,,4.0,win,26.0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,N Rana
1082598,2017,6,Indore,2017-04-10,Indian Premier League,8.0,male,T20,T20,20,2017,club,Holkar Cricket Stadium,1,494,1,bat,494,,8.0,win,70.0,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Punjab Kings,AR Patel
1082599,2017,6,Pune,2017-04-11,Indian Premier League,9.0,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,4,4,252,field,252,97.0,,win,180.0,Rising Pune Supergiants,Delhi Capitals,Rising Pune Supergiants,Delhi Capitals,SV Samson
1082600,2017,6,Mumbai,2017-04-12,Indian Premier League,10.0,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,2,field,3,,4.0,win,33.0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,JJ Bumrah
1082601,2017,6,Kolkata,2017-04-13,Indian Premier League,11.0,male,T20,T20,20,2017,club,Eden Gardens,6,6,494,field,6,,8.0,win,65.0,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine
1082602,2017,6,Bangalore,2017-04-14,Indian Premier League,12.0,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,3,1,3,field,3,,4.0,win,29.0,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,KA Pollard
1082603,2017,6,Rajkot,2017-04-14,Indian Premier League,13.0,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,5,5,4,field,5,,7.0,win,351.0,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,AJ Tye
1082604,2017,6,Kolkata,2017-04-15,Indian Premier League,14.0,male,T20,T20,20,2017,club,Eden Gardens,2,6,2,field,6,17.0,,win,58.0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,RV Uthappa
1082605,2017,6,Delhi,2017-04-15,Indian Premier League,15.0,male,T20,T20,20,2017,club,Feroz Shah Kotla,252,252,494,bat,252,51.0,,win,258.0,Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals,CJ Anderson
1082606,2017,6,Mumbai,2017-04-16,Indian Premier League,16.0,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,5,field,3,,6.0,win,26.0,Mumbai Indians,Gujarat Lions,Mumbai Indians,Mumbai Indians,N Rana
